Name of repository,URL,Country ,Description,Scope,Main focus on OER? (Y/N),Private/public,Organizer,Organizer's country ,Organizer Type,Link to Organizer,Associated administrations ,Creation date,no. Of USERS,no. Of OER downloaded (year),no. Of page visitors (month),number of OERs,Types of OERS,Who produces the OER?,Who can access/download the OER?,Open / Closed to external contributions,Languages,Multilingual repository,Subjects (if limited),Education level,Inclusion of Metadata ,Users evaluation tools,Specification Creative Commons Licences
A+ Click Math Challenge ,http://www.aplusclick.com/about.htm,International,"A+ Click is a not-for-profit project that features a collection of illustrated challenging math problems for students in grades one through twelve. The purpose of this project is to help students become problem solvers. The website has a graduated set of over 4700 problems, starting from the very simple to the extremely difficult. The tests also include hundreds of practical problems and brainteasers.",Subject Specific Repository,Y,Private,A+ Click team,International,Private,https://about.me/igor.kokcharov,,2010,"more than 250,000",,,"less than 100,000",Others,Staff/Experts,Anyone,Open,"English, Russian, French",yes,Maths,Primary & Secondary Education,,Comments,YES
Agrega,http://agrega.educacion.es/,Spain,"Agrega 2 is an initiative developed by the Ministry of Education, Culture and Sport, Red.es and Spain's regional governments. The federation of educational digital object repositories Agrega is a platform with nodes in all regional government education departments. The educational content which can be found therein is organised around the curriculum covering pre-university education and is prepared for downloading and direct use by the teaching staff and the students.",General OER Repository,Y,Public,"Ministry of Education, Culture and Sport",Spain,National Government,http://www.mecd.gob.es/portada-mecd/,Red.es and Spain's regional governments,2006,"10,000-100,000",,,"less than 100,000","Multimedia, Others",Staff/Experts,Registered Users,Open,"Spanish, Catalan, Galaician, Basque, French, English",Yes,Pre-university curriculum,Primary & Secondary Education,,Rating,YES
ALEXANDRIA,http://alexandria.xtec.cat/,Spain,Digital repository of resources created by teachers of Catalan schools.,General OER Repository,Y,Public,Departament d'Ensenyament de la Generalitat de Catalunya. XTEC,Spain,Regional Government,http://www.xtec.cat/web/guest/home,,2010,"10,000-100,000",,,"less than 100,000","Courses, Others",Staff/Experts,Registered Users,Closed,Catalan,yes,,Primary & Secondary Education,RSS,,YES
Ariadne Foundation,http://www.ariadne-eu.org/   ,Paneuropean,"ARIADNE Foundation is a European assotiation that maintains the world's largest repository of online learning resources with more than 600,000 resources and 800,000 additional available through federated searches.",General OER Repository,Y,Public,Ariadne Foundation,Belgium,Association,http://www.ariadne-eu.org/,ARIADNE is a member of the Global Learning Objects Brokering Exchange (GLOBE) Alliance,,,,,"more than 500,000",,,,Open,,Yes,,,,,YES
ARKive ,http://www.arkive.org/,International,"ARKive is a not-for-profit initiative of the charity Wildscreen. With the help of the world's best wildlife filmmakers and photographers, conservationists and scientists, we are creating an awe-inspiring record of life on Earth. Freely accessible to everyone and preserved for the benefit of future generations, ARKive is a truly invaluable resource for conservation, education and public awareness. Educate your pupils using ARKive's many thousands of videos, images and fact files in a wide range of science, ICT, art and English projects. Use the ARKive multimedia materials to engage your class in key biology topics, such as variation and adaptation, habitats or life cycles, or use them as creative inspiration for art and design projects. ARKive's science teaching resources cover many key science subjects, including evolution, classification, adaptation, food chains and conservation. All our photos, video clips and authenticated fact files are free and easy to use in your classroom activities and presentations.",Subject Specific Repository,Y,Private,Wildscreen,United Kingdom,Foundation,http://www.wildscreen.org/,,2003,,,,"less than 100,000","Multimedia, Others ",,Anyone,,English,no,Life on Earth,Primary & Secondary Education,,,
AUNEGE,http://www.aunege.org,France,"One of the 7 ""Digital Thematic Universities"" (DTU) created under the impulsion of the French Ministry of HE from 2003-2004 to 2007. Their are networks of HE institutions, thematically organized and their mission are the production, the indexing, referencing and promotion of educational contents. The y also provided opensource software and services around the ressources.  ",Subject Specific Repository,,Public,AUNEGE,France,association,http://www.aunege.org,"founded by the French Ministry of education, HE and Research and by the institutions of the DTU",,,,,,,Staff/Experts,Anyone,,French,,,,SupLOMfr (french declination of the LOM for HE),,YES
Banco de iten  ,http://bi.gave.min-edu.pt/  ,Portugal,"The repository ""Banco de iten "" has a large number of items of various disciplines for primary and secondary education. Teachers can create content and share content (exams, homework etc)",General OER Repository,Y,Public ,Government of Portugal,Portugal,National Government,http://www.portugal.gov.pt/pt.aspx,Ministry of Education and Science,,,,,,,Staff/Experts,,Closed,Portuguese,NO,Primary and secondary education subjects,Primary & Secondary Education,,,YES
Bundeszentrale für politische Bildung – „Lernen“ ,https://www.bpb.de/lernen/,Germany,,,,Public,Federal Agency for Civic Education,Germany,Public,https://www.bpb.de/die-bpb/138852/federal-agency-for-civic-education,,,,,,,,,,,German,,,,,,
Canal-U,https://www.canal-u.tv,France,French national videos library  for HE education,General OER Repository,,Public,Canal-U,France,Foundation,https://www.canal-u.tv,fouded by the franch ministry of HE,,,,,,,Staff/Experts,Anyone,,French,,,,SupLOMfr (french declination of the LOM for HE),,YES
CNDP (Centre National de Documentation Pédagogique),http://www.reseau-canope.fr/,France,"The CNDP (Centre National de Documentation Pédagogique) is a public institution under the authority of the French Ministry of Education. The CNDP leads 31 regional and 85 local centres within the SCEREN network. The CNDP works to implement the Ministry's education policy by making available educational and professional resources (tools, advice, training) to all those involved in education, by promoting the use of technology in schools and by contributing to the development of arts and culture in schools.",General OER Repository,N,Public,French Ministry of Education,France,National Government,http://www.education.gouv.fr/,,,,,,,,,,,,,,,,,
Consumer Classroom ,http://www.consumerclassroom.eu/,Europe,"Consumer Classroom is a community website for teachers bringing together an extensive library of consumer education resources from across the EU, along with interactive and collaborative tools to help prepare and share lessons with students and other teachers.",Subject Specific Repository,Y,Public,European Commission,Pan european,National Government,http://www.consumerclassroom.eu/content/project-funding,,2013,"10,000-100,000",,,"less than 100,000",Teaching materials,Staff/Experts,Anyone,Open,EU official languages,Yes,Consumer Education,Primary & Secondary Education,Dublin Core,,
DELA!,http://shareanduse.ning.com/,Sweden,An online community for education  and learning,General OER Repository,N,Private,Niklas Kalsson (inventor) Alma Taawo (manager),Sweden,Private,http://shareanduse.ning.com/profile/NiklasKarlsson,Norwegian network Del og use ,2009,"less than 10,000",,,,,Users,Registered Users,Open,Swesdih,no,,All educational levels,,,
Didactalia.net,http://didactalia.net/en/community/materialeducativo?,Spain,"Didactalia.net is a K-12 global community and an storage place for teachers, students and parents to create, share and find open educational resources that has currently more than 100,000 items with semantic contexts. In Didactalia.net, users can create, share and discover content and promote educational spaces where they can use lessons with facet based searches and enriched contexts.The project also offers a Personal Learning Environment (PLE) that includes an online reputation management service and a space where learners take control, communicate and cope with their own learning upgraded with personalized contexts. The Semantic Technology, the use of Linked Open Data and the creation of an ecosystem of learning communities in the context of Social Learning form the core of Didactalia.net. ",General OER Repository,Y,Private,GNOSS,Spain,Private,http://www.gnoss.com/home,,2009,"100,000-250,000",,,"100,000-250,000",,,Registered Users,Open,Spanish,,,Primary & Secondary Education,,,
Digiref,http://www.digiref.se/index.php,Sweden,"Digiref is a repository and search facility for OER, administered by the University of Gävle and regional partners",General OER Repository,Y,Public,University of Gävle and regional partners,Sweden,University,http://www.hig.se/,"Gävle County Museum, Library and CFL in Söderhamn (Centre for Flexible Learning)",,,,,"less than 100,000","Multimedia, Teaching materials, Others",Users and Staff/Experts,Registered Users,Open,Swedish,no,,,,,YES
Digital Good Practices Repository,http://repository.edulll.gr/edulll/?locale=en,Greece,"The repository of good practices, reports, materials in primary and secondary Greek education",General OER Repository,Y,Public,Greek National Documentation Centre,Greece,Public,http://www.ekt.gr/,,2011,,,"10,000-100,000",,Others,Staff/Experts,Anyone,Closed,Greek,no,,All educational levels,"Dublin Core, LOM, Premis, OAI-PMH",None,NO
Digital School,http://ebooks.edu.gr/2013/,Greece,"Digital interactive books, a repository of all school books",General OER Repository,Y,Public,Open eclass,Greece,,http://www.openeclass.org/,,,,,,,,,,,Greek,no,,Primary & Secondary Education,,,
Digital Supportive Learning Resources,http://www.study4exams.gr/,Greece,Repository including supportive learning resources for high schools. ,General OER Repository,Y,Public,Greek Education Ministery ,Greece,National Government,http://www.minedu.gov.gr/,,2010,,,,,,,,,Greek,no,"The site is available for lessons, Ancient Greek - philosophical Reasons, Biology General Education, Latin Theoretical Direction, Mathematics & Statistics Data General Knowledge, Mathematics Positive & Technological Education, Physics and Technology of Positive Direction",Primary & Secondary Education,,,YES
Discover the COSMOS,http://portal.discoverthecosmos.eu,Paneuropean,The Discover the COSMOS Repository contains educational material (COSMOS Repository),Subject Specific Repository,Y,public,The Institute of Accelerating Systems and Applications - IASA ,Greece,University,http://www.iasa.gr/,"European Organization for Nuclear Research, CERN (Switzerland), National Center for Scientific Research - Institut d' astrophysique de Paris (France), Faculty of Sciences and Technology, University of Coimbra, FCTUC (Portugal), University of Glamorgan - Faulkes Telescope Project, UoG (UK), University of Cambridge, Institute of Astronomy, UCAM (UK), Liverpool John Moores University, Astrophysics Research Institute, LJMU (UK), Technische Universitaet Dresden, TUD (Germany), University of Birmingham, UoB (UK), Ellinogermaniki Agogi, Research and Development Department, EA (Greece), Nucleo Interactivo De Astronomia, NUCLIO (Portugal), Hellenic Association of Science Journalists, Science Writers and Science Communicators, Science View (Greece), Bundesministerium für Unterricht, Kunst und Kultur (BMUKK) IT-Systems for Educational Purposes, (Austria), Universidad Complutense de Madrid, UCM (Spain), Lawrence Berkeley National Laboratory,LBL (USA)",,,,,"less than 100,000","Multimedia, Others ",,Registered Users,,"English, Finnish, French, German, Greek, Italian, Portuguese, Spanish, Swedish",Yes,Astronomy and High Energy Physics,,,,YES
Dryades,http://www.dryades.eu,Paneuropean,Project coordinated by the Department of Life Sciences of the Trieste University in the field of Biodiversity Informatics. Specialized on the topic of Biodiversity in Italy,Subject Specific Repository,,Private/Public,Department of Life Sciences of the Trieste University,Italy,University,http://www.units.it/,"Involved in: Open Discovery Space, VIBRANT and the interreg project SiiT (Italy-Slovenia)",1990's,,,,,,,,,Italian,no,Biodiversity Informatics,,,,
DUDA,http://www.duda.dk,Denmark,"Education portal developed and maintained by the Jensen family, who have a special interest in school education (knowledge) and especially children and adolescents. ",General OER Repository,Y,Private,Jensen Familiy,Denmark,Private,,,2001,,,,,,,,,Danish,no,School education subjects,Primary & Secondary Education,,,NO
EBA,http://www.eba.gov.tr/,Turkey,"EBA is an educational informatics platform  where you can reach the reliable and revised  learning digital materials categorised in accordance with the grade level.



",General OER Repository,Y,Public,Turkish Ministry of Education,Turkey,National Government,http://www.meb.gov.tr/,,2012,"more than 250,000",,,,"Interactive Resources, Multimedia, Teaching Materials, Others",Staff/Experts,Anyone,Closed,Turkish,No,,"Primary & Secondary Education, VET",,,
Economics Network Online Learning and Teaching Materials , http://www.economicsnetwork.ac.uk/links/othertl.htm,United Kingdom,"Economics education sites, aims at recognised standards of good practice, including accessibility and browser-independence. ",Subject Specific Repository,N,Private,University of Bristol,United Kingdom,University,http://www.bris.ac.uk/efm/," Royal Economic Society, the Scottish Economic Society, the LSE and University of Exeter",2012,,"less than 10,000",,"less than 100,000",,,,,English,no,HE Economics,Higher Education,,,YES
Edu Fi,http://www.edu.fi,Finland,"network of teaching, learning and development",General OER Repository,N,Public,,Finland,National Government,,,,,,,,,,,Open,Finish,No,"Primary, secondary school and VET subjects","Primary & Secondary Education, VET",,,
Educa Sources,http://www.educasources.education.fr/,France,"National database of digital resources online for teachers. It is not a general search engine, resources are selected and described by professionals of the Canope network. Resources are free and accessible without prior registration",General OER Repository,Y,Public,Canope network,France,National Government,http://www.reseau-canope.fr/,Ministry of Education,2006,,,,"less than 100,000",,Staff/Experts,Registered Users,,French,no,School and VET education subjects,,,,NO
Education Group,http://edugroup.at/,Austria,"Education Group offers a wide range of services for Austrian teachers, students and schools. For example, it is responsible for the appr. 40 subject portals with more than 80.000 e-content resources and has expert knowledge regarding the in-house production of educational media, providing schools and educators with comprehensive media packages, videos, interactive teaching materials and other digital resources. Some of these resources will be made available to teachers from all over Europe.",Subject Specific Repository,Y,Public,Oberoesterreich Lander,Austria,Regional Government,http://www.land-oberoesterreich.gv.at/,,,,,,,,,,,,,,,,,
Education Scotland,http://www.educationscotland.gov.uk/,UK,"Discover curriculum guidance, learning and teaching resources and examples of practice from Education Scotland bringing together a number of organisations and teams whose work contributes to key areas of the agency's remit.",General OER Repository,N,Public,Scottish Government,Scotland,Regional Government,http://www.gov.scot/Topics/Education,,,,,,,,,,,,,,,,,
EduFeedr,http://www.edufeedr.net,Estonia,"EduFeedr is a feed reader for online courses where each participant is using his/her personal blog to publish thoughts on course readings, answers to assignments and other course related posts.",General OER Repository,N,Private,Centre for Educational Technology at the Tallinn University,Estonia,University,http://htk.tlu.ee/new/,"The Estonian Information Technology Foundation, Misnitry of Education",2009,,,,,Courses ,,Registered Users,,Estonian,no,,,,,
Edumedia Share,http://www.edumedia-share.com/,France,Teachers can host and share visual and interactive resources. ,General OER Repository,Y,Private,Edumedia,France,Private,http://www.edumedia-sciences.com/es/,,,,,,,"Interactive Resources, Multimedia",Staff/Experts,Registered Users,Open,Several,no,,Primary & Secondary Education,,,YES
Eduscol,http://eduscol.education.fr/bd/urtic/histgeo/,France,"Eduscol is aimed at education professionals and, primarily, teachers. Its purpose is to provide them with information by presenting official texts and offering resources to support their implementation on the ground. ",General OER Repository,N,Public,Directorate-general for Schools of the French Ministry for National Education,France,National Government,http://www.education.gouv.fr/?feuilleCSS=chrome,,,,,,,,Staff/Experts,Registered Users,Closed,French,NO,Primary and secondary school subjects,Primary & Secondary Education,,,
Eduspace,www.eduspace.lv,Latvia,"The Riga Technical universiāte presents a wide range of learning content repository eduspace.lv where learning materials are available to anyone on the Internet free of charge. Free e-textbooks, working on a complete set of educational materials for students of all ages",General OER Repository,Y,Private,Technical University Riga,Latvia,University,http://www.rtu.lv/,,,,,,,,,Anyone,,Latvian,no,,,,,
Edutags,http://edutags.de/,Germany,"Edutags offers an overview over more than 1,000 openly available educational materials in German speaking countries. Edutags allows teachers to collect, tag and review bookmarks that are linked to teaching and learning material. ",,,,Deutscher Bildungsserver,Germany,,http://www.bildungsserver.de/,Universität Duisburg - Essen Duisburg Learning Lab ,,"Less than 100,000",,,,Teaching Materials,,,,German,,,,,,YES
Elixier,http://www.bildungsserver.de/elixier/,Germany,"Since may 2007, an exchange of OER of 12 members of the different Laender in Germany (Landesbildungsserver) are contributing with data. The materials are reviewed and selected.",General OER Repository,Y,Public,German Institute for International Educational Research,Germany,National Government,http://www.dipf.de/en/dipf-news/news,Deutscher Bildungsserver,2005,,,,"less than 100,000","Multimedia, Software, Others",Users,Anyone,Closed,"German, English",yes,"Art, Mathematic, Social Science","Primary & Secondary Education, VET",,,YES
EMU Danmarks lærninrsportal,http://www.emu.dk/,Denmark,A platform sharing educational materials for Danish grade school and further education studies,General OER Repository,N,Public,Danish Ministry of Education,Denmark,National Government,http://www.stil.dk/,The National Agency for Education and Quality ,,,,,,,Staff/Experts,Registered Users,,Danish,NO,,Primary & Secondary Education,,,
Energia Kaland ,http://www.energiakaland.hu/,Hungary,Energy education resources for teachers and students.,Subject Specific Repository,,Private,EON ,Germany,Private,https://www.eon-hungaria.com/,"MATISZ, hungatian association of content industry",,,,,,"Multimedia, Others",,,,Hungarian,no,Energy-related,Primary & Secondary Education,,,NO
E-Paideia,"http://www.e-paideia.org/
",Greece,"To educational portal e-paideia is aimed at teachers of preschool primary and secondary education, students, researchers and parents, with a view to their valid information and enhance their access to sources of information on education. With emphasis on schooling, but through the perspective of lifelong learning, the e-paideia seeks to support, improve and enrich the learning process (formal, non-formal and informal) celebrated at school, at home and in general children's activity environment and new.",General OER Repository,N,Private,Lambrakis Foundation ,Greece,Foundation,http://www.lrf.gr/,,,,,,,,,,,Greek,no,,,,,
Escuelapedia,www.escuelapedia.com,Spain,Educational resources for teachers and students.,General OER Repository,Y,Private,,Spain,Association,http://www.escuelapedia.com/,,,,,,,,,,,Spanish ,no,"Art, biographgies, science, social sciences, philosophy, history, languages, literature, music, tecnology",Primary & Secondary Education,,,YES
GeoGebraWiki,http://www.geogebra.org/?ggbLang=en,Austria,"GeoGebra is dynamic mathematics software for all levels of education that brings together geometry, algebra, spreadsheets, graphing, statistics and calculus in one easy-to-use package. GeoGebra is a rapidly expanding community of millions of users located in just about every country. GeoGebra has become the leading provider of dynamic mathematics software, supporting science, technology, engineering and mathematics (STEM) education and innovations in teaching and learning worldwide.",Subject Specific Repository,Y,Private,GeoGebra Institute Network,Austria,Private,,,2002,"more than 250,000",,,"100,000-250,000","Software, Others",Users,Anyone,Open,Multilingual,yes,"Mathematics, Science, Engineering, Technology","Primary & Secondary Education, Higher Education",RSS,Rating,YES
GEORED provides digital educational resources for teaching geography.,http://geored.dge.mec.pt/,Portugal,GEORED provides digital educational resources for teaching geography.,Subject Specific Repository,Y,Public,Associação de Professores de Geografia e o Departamento de Geografia do Instituto de Geografia e Ordenamento do Território (IGOT) da Universidade de Lisboa,Portugal,University,http://www.aprofgeo.pt/,"financiado pela Direcção-Geral da Inovação e Desenvolvimento Curricular, do Ministério da Educação",,,,,"less than 100,000",,Staff/Experts,,,Portuguese,,,Primary & Secondary Education,,,YES
Hum Box,http://humbox.ac.uk/,United Kingdom,"Project to encourage teachers within HE institutions to publish excellent teaching and learning resources openly on the web, focused on the Humanities and was a collaborating with twelve different institutions across the country. ",General OER Repository,N,Private,JISC,United Kingdom,Private,http://www.jisc.ac.uk/,,April 2009,"less than 10,000",,,"less than 100,000","Multimedia, Teaching materials, Others",Users,Anyone,Open,English,yes,"Humanities,English, History and Philosophical and Religious Studies",Higher Education,None,Comments,YES
Institut für Film und Bild in Wissenschaft und Unterricht GmbH ,http://www.fwu.de/,Germany,"FWU is Germany’s leading producer of audiovisual media for schools and other educational organisations. It was founded in 1950 as a non-profit corporation with the 16 German “Länder” (federal states) as shareholders. FWU produces educational video-films, didactic DVDs and learning software on CD-ROMs as well as internet applications. It keeps on stock resources for almost all school subjects and cross-area topics, as well as fictional movies for children and young people. All productions are accompanied by comprehensive handbooks for teachers and educators.",General OER Repository,Y,Public,,Germany,National Government,,,,,,,,Multimedia,Staff/Experts,,Closed,German,,,,,,
IUTenLigne,http://www.iutenligne.net,France,repository of OERs for profesionnnal licenses,General OER Repository,,Public,IUTenLigne,France,Association,http://www.iutenligne.net,fouded by the French minsitry of HE and by the IUTs,,,,,,,Staff/Experts,Anyone,,French,,,,SupLOMfr (french declination of the LOM for HE),,YES
Jorum,http://www.jorum.ac.uk,United Kingdom,"Jorum is the place where you will find free open educational resources (OER) shared and created under CC licenses by those who teach in or create content for the further and higher education communities in the UK. Funded by Jisc, we are the UK's largest OER repository, and our collections grow daily.",General OER Repository,y,Private,JISC/Mimas,United Kingdom,Private,"http://mimas.ac.uk/ 
http://www.jisc.ac.uk/",,2002,,"more than 1,000,000",,"less than 100,000","Courses, Interactive Resources, Multimedia, Teaching materials, Others",Staff/Experts,Anyone,Open,English,yes,,"Higher Education, AE","Dublin Core, IEEE LOM, OAI-PMH",None,YES
KlasCement,http://www.klascement.be/,Belgium,KlasCement is a free platform where teachers help each other by sharing resources for students of all ages.,General OER Repository,y,Public,Ministerie van Onderwijs en Vorming,Belgium,National Government,http://www.ond.vlaanderen.be/,,1998,"10,000-100,000",,,"less than 100,000",,Staff/Experts,Registered Users,Closed,"Flemish, English",yes,,"Primary & Secondary Education, AE",,,YES
Koolielu,http://www.koolielu.ee/,Estonia,Koolielu portal is managed by the Education Foundation of Information Technology (HITSA). It offers OER for primary and secondary education,General OER Repository,N,Private,Hermann Schwarz and the Education Foundation of Information Technology,Estonia,Foundation,http://www.hitsa.ee/,,,,,,"less than 100,000",,Users,Registered Users,,Estonian,no,,Primary & Secondary Education,,,YES
Kursnavet,http://www.kursnavet.se/,Sweden,Digital learning resources,General OER Repository,Y,Public,Adult education Harnosand municipality,Sweden,National Government,www.harnosand.se ,EU project http://www.eakademin.se/,,,,,"less than 100,000","Courses, Interactive Resources, Multimedia, Others",,,Closed,Swedish,no,"Biology, Mathematics, English, Swedish, Russian, German, Spanish, French, Portuguese and Business Administration",,,,NO
Länkskafferiet,http://www.lankskafferiet.org/om/in_english/,Sweden,the Swedish Link Library is a referatory for educational use and is meant to be a pedagogical aid for Swedish pupils (5-18). Teachers guide the pupils in their search and find  resources for lesson planning. ,General OER Repository,y,Public,Umeå university,Sweden,University,http://www.umu.se/english,Swedish National Agency for Education,2003,,,,"less than 100,000",,Staff/Experts,,Closed,"Swedish, English",,,Primary & Secondary Education,,,YES
Lärarspindeln,http://lararspindeln.se/,Sweden,teachers can submit resources and both metatag them and add relations to relevant parts of the curricula. ,,,,,,,,,,,,,,,,,,,,,,,,
LearnEnglish Kids,http://learnenglishkids.britishcouncil.org/en/,UK,"LearnEnglish Kids is the British Council's website for children around the world who are learning English as a second or foreign language. This site has free resources for children to use at home, either independently or with family members or friends. You can recommend activities from this site to children to do for homework, or during school holidays. You can also recommend the Parents section of LearnEnglish Kids to parents and carers of children.",Subject Specific Repository,Y,Private,British Council,United Kingdom,Foundation,http://www.britishcouncil.org/,,,,,,,,Staff/Experts,Anyone,Closed,English,,English a foreign language,Primary & Secondary Education,,,
Leeds Metropolitan University,http://repository.leedsbeckett.ac.uk/main/index_oer.php,United Kingdom,Comprises a research collection and a collection of OERs produced at Leeds Beckett that are freely available for reuse under a Creative Commons licence,General OER Repository,Y,Private,Leeds Beckett University,United Kingdom,University,http://www.leedsbeckett.ac.uk/,,,,,,,"Multimedia, Teaching materials, Others",,,,English,no,,Higher Education,,,YES
Lehrer Online,http://www.lehrer-online.de/,Germany,"A platform to share teaching material and also subject related materials, collection of links and other digital media education related material. Also to share best practices, etc. ",General OER Repository,N,Private,Eduversum GmbH,Germany,Private,http://www.eduversum.de/,,,,,"100,000-500,000","less than 100,000",,,,,,,,,,,
LeMill,http://lemill.net/,Finland,"LeMill is a web community for finding, authoring and sharing learning resources. It was originally developed between 2005 and 2008 by the LeMill team lead by the Learning Environments Research Group of the Media Lab at the University of Art and Design Helsinki, Finland, as part of the CALIBRATE project. ",General OER Repository,Y,Private,"LeMill team lead by the Learning Environments Research Group of the Media Lab at the University of Art and Design Helsinki, Finland",Finland/Estonia,University,http://lemill.org/trac/wiki/Team,Part of the CALIBRATE project,2005,"10,000-100,000",,,"less than 100,000","Teaching materials, Others ",Users,Anyone,Open,88 languages,yes,,All educational levels,"IEEE LOM, OAI-PMH ",Comments,
LMS,https://lms.at,Austria,"Launched in 2004/2005 as a nationwide available infrastructure to support notebook classes in the Austrian Province of Burgenland. Initiated and managed by the Bildungsnetzwerk Burgenland, developed by the Vienna University of Economics and Business on the basis of DotLRN- and OpenACS technology. Available to all public schools in Lower Austria since  2009/2010. ",General OER Repository,Y,Public,Bildungsnetzwerk Burgenland and Vienna University of Economics and Business,Austria,University,http://www.bildungsserver.com/,,2004/2005,,,,,,,,,German ,,,,,,
Matematikk  Norway,http://www.matematikk.org  ,Norway,"matematikk.org is a collaboration between the mathematical institutes at the University of Tromsø, Bergen, Oslo and NTNU along with faculty of science at the University of Agder, Faculty of Education and International Studies at Oslo and Akershus University College of Applied Sciences and the National Centre for Mathematics Education .",General OER Repository,Y,Private,University of Tromsø,Norway,University,http://uit.no/,,,,,,,,,,,Norwegian,,,,,,
Materialeplatformen ,http://materialeplatform.emu.dk/materialer/index.jsp  ,Denmark,a national repository of all Danish learning resources and  initiated by the Danish Ministry of Education. Managed and further developed by National Agency for It and Learning.,General OER Repository,Y,Public,Danish Ministry of Education and managed and further developed by National Agency for It and Learning on behalf of the Ministry,Denmark,National Government,http://www.stil.dk/,,2006,,"100,000-1,000,000","10,000-100,000","less than 100,000","Courses, Teaching materials",Staff/Experts,Anyone,Closed,Danish,yes,,"Primary & Secondary Education, VET",,Comments,YES
MathWorld,http://mathworld.wolfram.com/,United Kingdom,"Since its contents first appeared online in 1995, MathWorld has emerged as a nexus of mathematical information in both the mathematics and educational communities.",Subject Specific Repository,Y,Private,MathWorld Initiative by Eric Weisstein at Wolfram Research,,Private,http://www.wolfram.com/,,1995,,,,"less than 100,000","Interactive Resources, Multimedia, Others
",Users and Staff/Experts,,Open,English,no,Mathematics,,Dublin Core,,
Miksike’s Learning Folders (LeFo),http://lefo.net,Paneuropean,"Offers a variety of collaborative learning services such as a  Online Teacher Assistant system, online tests and a range of contests and different online learning activities to engage the learner. Miksike LearningFolders has worked for regular schools since 1994. Miksike gives away more than 30 000 worksheets in HTML eWorksheets and offers a variety of collaborative learning services to facilitate learners in constructing their knowledge. 
Miksike has over 120 000 registered users in the Baltic States (mostly in Estonia, but also in Latvia and Lithuania).
Miksike Online Teacher Assistant system offers organized community settings where teachers/educational specialists/students act as information providers, and provides online tests and a range of contests and different online learning activities to engage the learners at every age level.",General OER Repository,N,Private,Miks ja Millepärast,,Private,,"Miksike development started 1994 in the non-profit organization “Miks ja Millepärast”, which works successfully till today with projects with small rural schools and Russian speaking minorities in the Baltics and other projects. OÜ Miksike grew out from NGO “Miks ja Millepärast” in 1998.",1994,"100,000-250,000",,,,Others,,,,"Estonian, English",,,Primary & Secondary Education,,,
MySchool,"https://portal.education.lu/Ressources.aspx, https://www.myschool.lu/portal/server.pt?",Luxembourg,mySchool.lu is the Government of Luxemburg public education portal offering pedagogical services and contents for students and teachers. ,General OER Repository,Y,Public,Government of Luxembourg,Luxembourg,National Government,http://www.gouvernement.lu/,,2005,,,,"more than 500,000","Multimedia, Others",,,,French ,no,,,,,
